MainTitle,Type,Genre,Weighted_Score,Themes,Summary
Calimero,TV 1/1972,[],5.7629,No Theme Found,Calimero is a small chicken who wears half of his eggshell on his head. He goes to school and plays with a girl chick named Priscilla who is his girlfriend and the troublesome Peter Duck tries to mess with him sometimes.
Calimero,TV 2/1992,[],5.8129,No Theme Found,Calimero and his friends form an investigation team and investigate mysteries.
Captain,TV,[],7.0068,['sports'],No summary found
Captain Future,TV,"['action', 'adventure', 'science fiction']",6.8028,['space'],"Curtis Newton, aka Captain Future, is an orphan. His parents died in their artificial satellite while he was an infant. His father was a scientist, who has abandoned earth for the satellite to dedicate his life for science along with his aging friend the genius Dr Simon Wright. Wright senses his death, and decides to implant his brain in a mechanical container. They both manufactured a superior robot and an android. Captain future dedicated his life to fight evil along with his three men, the brain, android, and robot."
Space Pirate Captain Harlock,TV,"['action', 'adventure', 'drama', 'horror', 'science fiction']",7.3772,"['aliens', 'pirates', 'space', 'war']","The year is 2977. Mankind has become complacent and stagnant. All work is done by machines, while humans spend all their time on entertainment. But when a mysterious invader from the stars catches Earth unawares, only the legendary space pirate Captain Harlock and the crew of the Arcadia have the will to stand against them."
Cat's Eye,TV,"['action', 'comedy', 'mystery', 'romance']",6.7928,"['crime', 'thief']","The three Kisugi sisters—Rui, Hitomi and Ai—during the day run a small cafe called ""Cat's Eye"". To discover the whereabouts of their father, the artist Michael Heintz, who has disappeared, Hitomi and her sisters rob art galleries as the smart and mysterious thief ""Cat's Eye"" in the hope that his works can give them clues about his vanishing. The crucial point is that Hitomi has a relationship with Toshi, a police inspector who has sworn to catch ""Cat's Eye""—and of course he has no idea about Hitomi's double life."
Samurai Pizza Cats,TV,"['action', 'comedy', 'science fiction']",6.5902,"['mecha', 'samurai']","The setting is a Japanese looking village named ""Little Tokyo"" where the Pizza Cats run a pizza fast food business. Little Tokyo is populated by all kinds of animals. The official governor of the town is the Emperor, but since he has gone bananas a council takes care of the well-being of the village. One of the members of this council is called Seymour ""Big"" Cheese, who secretly wishes to take over control of the village. The pizza take away restaurant is merely a cover for their true job... Whenever evil is afoot, the Pizza Cats are launched towards the danger from the gun-lookalike clock tower that emerges from the top of their restaurant."
After War Gundam X,TV,"['action', 'adventure', 'drama', 'romance', 'science fiction']",7.2953,"['mecha', 'post-apocalyptic', 'real robot', 'war']","When one space colony declared its independence from United Nations Earth, the devastating 7th Space War, an all-out war between Earth and space, resulted. The UNE responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the SRA forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The UNE collapsed, but the SRA was unable to invade the Earth in the aftermath of the colony drop. Fifteen years have passed. The year is now After War 0015, and a New UNE has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old UNE mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past."
Chargeman Ken!,TV,"['adventure', 'comedy', 'science fiction']",3.8232,"['aliens', 'mind control', 'monsters', 'superhero']",Ken Izumi disguises himself as a superhero to fight evil aliens named the Juralians.
Angie Girl,TV,['mystery'],7.2419,"['detective', 'historical']","Angie is a young girl, who on a one fine day finds herself on the traces of an evil robber. Being the very sharp and smart girl she is, she prevents a conspiracy against the Queen of England. She then finds a great interest in investigations, and as soon as something appears suspicious to her, she investigates it without any hesitation. She comes to the assistance of Scotland Yard and aids in the arrest of many gangsters and other pickpockets. Angie often teams-up with the “not-very-helpful” chief of the police force and his handsome assistant, Michael—who Angie admires—and her best friend friend Franck, to solve the hardest criminal cases."
Chibikko Kaiju Yadamon,TV,"['comedy', 'fantasy']",0,['monsters'],No summary found
Chiisana Kyōjin Microman,TV,"['action', 'adventure', 'science fiction']",6.7685,No Theme Found,No summary found
Vicke the Little Viking,TV,"['adventure', 'comedy']",6.4687,['historical'],No summary found
Chikkun Takkun,TV,"['comedy', 'science fiction']",0,No Theme Found,"The ""Waruchin Ceremony"" has been stolen from All Star, a planet that exists in the outskirts of space. The computer that is built into it is programmed to make anything possible. The thief is actually the villain, Doctor Bell. Doctor Bell schemes to invade the other planets through the use of Waruchin. The prince of All Star, Prince Chikkun, together with his trusty advisor, the intellectual Takkun, decides to head towards Earth in pursuit of Doctor Bell."
The Daichis - Earth Defence Family,TV,"['action', 'comedy', 'science fiction']",6.4786,No Theme Found,"The Daichis are a family in danger of tearing itself apart. Dissatified and money obsessed mom Seiko has served wimpy and otaku dad Mamoru with divorce papers. Daughter Nozomi who has always been saddled with all the housework, feels pained that everyone is using her. The youngest albeit most foul mouthed, Dai is forced to watch all this as everything is going to pieces. However when the Galaxy Federation recruits the Daichis to combat alien threats to the wellbeing of the Earth, it will be a chance for the family to save the world and maybe themselves."
Chikyū SOS Soreike Kororin,TV,[],0,No Theme Found,No summary found
Chinpui,TV,['comedy'],5.338,No Theme Found,No summary found
Chingo Muchabei,TV,"['adventure', 'comedy']",0,['samurai'],No summary found
Demon Lord Dante,TV,"['action', 'horror', 'supernatural']",5.0276,['demons'],"While sleeping one night, Ryo Utsugi had a nightmare of monsters attacking him. One day he learns a mysterious power to let him hear voices and have visions of girls getting killed, but one night he hears the same voice."
Princess Tutu,TV,"['drama', 'magic', 'psychological', 'romance']",8.3293,"['ballet', 'fairy tales', 'magical girl']","13-year-old ballet student Ahiru is clumsy, good-hearted and sweet... and has a big secret. The mysterious Drosselmayer morphed a young duck into a girl to give her a mission: help a Prince to get the parts of his heart back. With that in mind, she morphs into Princess Tutu, whose magical dances ease the pain and purifies the bad feelings."
Urayasu Tekkin Kazoku,TV,"['action', 'comedy']",6.0955,No Theme Found,No summary found
Voltes V,TV,"['action', 'adventure', 'drama', 'science fiction']",6.943,"['mecha', 'super robot']","From out of nowhere, a mysterious alien race known as the Boazan Forces has invaded the Earth. A group of individuals specially trained to handle this kind of situation has been unleashed. Kenichi, Ippei, Daijiro, Hiyoshi & Megumi are the pilots of the Chō Denji Machine Voltes V (5), Earth's defense against the Boazan and their terrible Beast Warriors. The plot thickens as the Go Brothers discover their true heritage and the truth behind their father's disappearance. Conflicts and mixed emotions hinder the Go Brothers at times but due to their unwaivering desire to find their dad, they must go to the place where it all started. With the help of the rebels based on Earth and on the aliens' homeworld, the Voltes Team has another mission: remove the tyrant Zu Zanbajil and liberate the people of Boazan."
Ginguiser,TV,"['action', 'adventure', 'science fiction']",6.9847,"['mecha', 'super robot']",No summary found
Cho Kosoku Galvion,TV,"['action', 'adventure', 'science fiction']",6.6332,['mecha'],The show revolves around criminals using robots to save innocents in exchange for years being cut from their long prison sentences.
Choriki Robo Galatt,TV,"['action', 'adventure', 'comedy', 'science fiction']",0,"['mecha', 'parody']","In a peaceful, disarmed world where small robots are utilized as housekeepers, villains act with huge robots instead of weapons. Dr. Keewee converts Michael’s robot into a transformable one in order to teach them a lesson. This is the birth of Galatt, the town hero."
Chosoku Spinner,TV,['tournament'],6.1361,No Theme Found,"Shunichi Domoto is a talented sportive 5th grade boy who is used to help sport teams in his school. He enters a Yoyo duel against a bully boy called Benkei to help his friend,Beso, to get back his Yoyo which was stolen by the bully. He beated him up,but after that he meets the expectionally gifted Yoyoer,Seito Hojoin who beated him up because he ridiculed Yoyo game .So, Shunichi enters the Japan`s Yoyo championship to get his revenge from Seito. Throughout This Championship, He earns new Yoyoing Skills and meets powerful rivals."
Cho Supercar Gattiger,TV,[],6.1851,No Theme Found,No summary found
Reideen the Superior,TV,"['action', 'adventure', 'science fiction']",5.9594,['mecha'],"Hisho, Ginga, Ace, Hayate, and Ikazuchi all work at a studio doing various idol-related jobs at the request of their manager, Reiko. But in reality, these five teenagers are really the Reideens, a group of superheros who fight the Super Devils sent by Lushu, a mysterious being. Little do the Reideens know, these Super Devils are being sent for a more important purpose...."
Chō Kuseninarisō,TV,"['comedy', 'romance']",5.3002,"['crossdressing', 'idols', 'music', 'school']","Shiratori Nagisa is a pink haired singing idol, continually badgered by her father to find new disciples for the family dojo. In an attempt to gain free-time as a normal kid, she cuts her hair and cross-dresses as a high-school boy. ""Ootori Nagisa"" enrolls in a run-down school, falling in love with a rival school's gang leader, Nosaka Akira. She soon finds out Nosaka-kun is a fan of Nagisa - The Idol. Keeping up the charade, they manage to sneak time together. Rivals for Nagisa's affection, BOTH their dojo-running fathers, as well as martial artist animals and an up-in-coming Idol conspire to make thier lives a complicated as possible."
Cinderella Monogatari,TV,"['adventure', 'fantasy', 'romance']",7.3313,['western'],"Cinderella is the daughter of a wealthy duke who has remarried to provide her with a mother and sisters. When the Duke travels abroad, Cinderella discovers that her new family is anything but a family. With spoiled stepsisters and a harsh stepmother, Cindrella is forced to cook, clean and manage the household. Yet she remains cheerful, gentle and kind to her family, to her animal friends and to a mysterious boy, named Charles, who seems to have a connection with the prince of Emerald Castle. A whole new story on a classic fairytale."
Cooking Papa,TV,['drama'],7.7538,['cooking'],No summary found
Corrector Yui,TV,"['adventure', 'comedy', 'science fiction']",5.7279,No Theme Found,"Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she’s very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator of COMNET Professor Inukai, to help stop Grosser for good."
Cosmowarrior Zero,TV,"['action', 'adventure', 'science fiction']",6.5083,['military'],"The long war between the planet Earth and the machine men is finally over, resulting in a peace that is more a victory for the machine men than the Earth. Warrius Zero lost his family in the war to the machinemen but despite this he still is a member of the Earth fleet that is now working in concert with the machine men. His ship, made up of both humans and machine men, has been given a near impossible task: capture the space pirate Captain Harlock. While Zero struggles to accomplish this task, evidence begins to surface that the peace between machine men and Earth may not be as it seems...."
Magical Angel Creamy Mami,TV,"['comedy', 'magic']",6.5908,"['idols', 'magical girl', 'music']","Creamy Mami is about a young girl, Yuu, who after seeing a spaceship is given the power to use magic for one year. She is also given 2 cats, Poji and Nega, to watch over and guide her. Using her magic powers to transform into the idol Creamy Mami, Yuu must work hard at acting, singing, helping her parents at their crepe shop, fighting aliens and bad guys, going to school, plus try to get the affections of her childhood friend Toshio."
Cybersix,TV,"['adventure', 'romance', 'science fiction']",6.4989,"['crossdressing', 'cyborg', 'fighting', 'mutants']","Cybersix is an escapd cybernetic creation of the evil Dr. Von Reichter. Hiding as a male high school teacher, Cybersix fights against the diabolical plans of her creator."
Cyborg Kuro-chan,TV,"['action', 'comedy', 'science fiction']",5.6827,No Theme Found,"Kuro is just an ordinary cat who only wants to protect his owners who are an old couple that can't fend for themselves. One day while on a date with his girlfriend Pooly who is a dog, he is kidnapped by an evil scientist and turned into a robot. Kuro somehow removes the chip that controlled him and notices that people get scared with his new robotic appearance and that he can now talk like a human. He decides to disguise himself with the skin of a stuffed toy and to continue living as a pet."
Cyborg 009,TV/1968,"['action', 'adventure', 'science fiction']",5.1627,['cyborg'],"During the tensions of the Cold War, a global organization led by Black Ghost wishes to lock the world in eternal warfare for profit. But in order to avoid destroying the world through nuclear warfare, Black Ghost has captured nine men and women. By turning them into cyborg soldiers, he aims to bring the war into the stars. However, Black Ghost did not count on his cyborg soldiers rebelling against his evil cause. <em class=de-emphasized>(from manga)</em>"
Cyborg 009 The Cyborg Soldier,TV,"['action', 'adventure', 'comedy', 'science fiction']",6.1561,"['cyberpunk', 'cyborg', 'mecha']","'Black Ghost,' a top-secret organization bent on promoting global warfare, kidnaps Joe Shimamura AKA 'Cyborg 009' along with eight other unwanted members of society from the four corners of the world and turns them into cyborgs. Though the organization intends to turn the group into super-powered killing machines, it's not long before Joe and his new companions rebel against Black Ghost and make their escape with the help of an old scientist. Using their new powers and abilities, our heroes stay one step ahead of Black Ghost and its evil machinations, trying to save the world from Black Ghost's diabolical scheme."
Cybot Robotchi,TV,"['comedy', 'science fiction']",4.6008,['robots'],No summary found
Daa! Daa! Daa!,TV,"['adventure', 'comedy', 'drama', 'mystery', 'romance', 'science fiction']",7.2015,No Theme Found,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around."
UFO Senshi Daiapolon,TV,"['action', 'adventure', 'science fiction']",5.9467,"['mecha', 'super robot']",No summary found
Daikengo,TV,"['action', 'drama', 'erotica', 'science fiction']",6.648,"['mecha', 'super robot']","Giant robot Daikengo flies through space to re-establish galactic peace; on-board prince Ryger, who ran away from his planet Emperius to defeat the menace out of his reign borders, in order to save his people; Cleo, corrupted prime minister's daughter, help him along with two nice little robots, Anike and Otoke. They fight evil Lady Baracross, leading invasion forces, with her assistant Roboleon, wearing a Napoleon style hat. Daikengo is the first robot with scuttles on his mouth. When he opens them, his vampyre style teeth are shown and he can spit fire."
Gigantor,TV 1963,"['action', 'science fiction']",5.6093,"['mecha', 'super robot']","A boy detective named Jimmy Sparks has complete access to a giant robot named Gigantor which was created by his late father. With the usage of a remote control that allows Jimmy to control the robot, he is able to make Gigantor do incredible things that can help restore justice and fight off criminals and terrorists around the world."
Dino Mech Gaiking,TV 1/1976,"['action', 'adventure', 'science fiction']",6.7552,['mecha'],"Earth is still in danger: aliens from planet Zeraz are willing to invade our planet because theirs is being swallowed by a Black Hole. Led by Great Darius and his four generals, they begin seeding death and destruction. When an ESP warrior is killed by aliens, professor Hi-Tech understands the danger and builds the huge Space Dragon (Daiku Maryu) piloted by Pete, and the gint robot Gaiking whose pilot is Sanshiro Shiwobuki, an ex-baseball player. Daiku Maryu is a big dragon shaped spaceship and his head is the Gaiking torso. When the Gaiking enters the action, Daiku Maryu launches other Gaiking's components and then it re-unite neck with tail, becoming unbreakable."
Fighting General Daimos,TV,"['action', 'adventure', 'romance', 'science fiction']",6.6196,['mecha'],"The survivors of Planet Baam and the Earth people want to sign a peace treaty, so General Lion and the renowned scientist Dr. Ryūzaki head out to have a reunion. But Lion dies in odd circumstances, his vengeful son Richter kills Dr. Ryūzaki—and war starts. Dr. Ryūzaki's son, young martial artist Kazuya, decides to defend Earth with Dr. Izumi's powerful robot: Tōshō Daimos..."
Daisuki! BuBu ChaCha,TV,['comedy'],6.0267,No Theme Found,"The anime talks about a little boy, Randy, whose dog, Chacha, died in an accident and was reincarnated into a living toy car. Each episode is told like the chapter of a storybook, where Randy learns a valuable thing in life with his cartoonish and goofy friend Chacha. Randy meets several friends in his neighbourhood, such as Catherine, the tall blonde girl in red long socks who rides a bicycle, or Mary, a little hot-tempered brunette girl dressed as a maid and who carries around a mop."
Muteki Kōjin Daitarn 3,TV,"['action', 'science fiction']",6.8408,"['mecha', 'super robot']","Sozo Haran was a brilliant scientist who was conducting an investigation on Mars. He created a lifestyle cyborg with the ability to think for itself. These cyborgs called Meganoids soon became out of control and killed Dr. Haran and his entire family, although he could save his youngest son, a boy of 16 years Banjou Haran. Banjou escapes from Mars in a rocket with a super robot powered by solar energy called Daitarn 3 who was built with special metals Mars. Now 18 and living on Earth in a luxurious mansion, Banjou fight against Meganoids with the help of his faithful assistant Garrison and his two companions, an ex-agent of Interpol Reika Sanjo and his childhood friend ""Beauty"" Tachibana . Together they must stop the evil Meganoids wicked who seek to turn all humans into cyborgs and thus ""improve"" the human race."
Dame Oyaji,TV,['comedy'],0,No Theme Found,No summary found
Planet Robot Danguard Ace,TV,"['action', 'science fiction']",6.2361,"['mecha', 'super robot']",No summary found
Dasshu Kappei,TV,['comedy'],7.8719,"['basketball', 'sports']","Kappei is a dramatically short guy but he is a master in every sport. He lives as a guest in sweet Akane's house, and he's in love with her, but there's a strange rival, her dog Salomone (Italian name) who plans evil traps to encumber Kappei. But the dog has also another function: he explains all sport rules when a new sport is depicted. Kappei is fond of white female underwear, alwayse tring to lift girl'skirts up."
Dennō Bōkenki Webdiver,TV,"['action', 'adventure', 'science fiction']",8.7612,['mecha'],"Set in the year 2100 where the world is tied together by a computer network. The children of the world become Web Divers, adapting their consciousnesses into data, and love to play together in the cyber park called Magical Gate. However, a mysterious computer virus appears beginning to destroy Magical Gate from the inside out. In cyberspace, programs called Web Knights have been created to protect the children. But, the computer virus has turned all the Web Knights against the children. The only Web Knight to escape the ""brainwashing"" is Gladion. Gladion seeks the help of Kaito Yuki, a Web Diver who is in the fourth grade."
The Brave Fighter of Legend Da-Garn,TV,"['action', 'science fiction']",7.6162,['mecha'],No summary found
Digital Tokoro-san,TV,['comedy'],5,No Theme Found,No summary found
Kyoryu Wakusei,TV,"['adventure', 'science fiction']",0,No Theme Found,No summary found
Dinozaurs: The Series,TV,"['action', 'adventure', 'science fiction']",4.6239,No Theme Found,"The story takes place 1,000,000 years since the Dino Knightshad last defeated the Dragozaurs. The Dragozaurs have returned, a boy named Kaito has reawakened them. The battle between the Dino Knights and the Dragozaurs begins once again as the Dino Knights prevent the Dragozaurs from stealing Earth's life force."
My Patrasche,TV,['drama'],9.6149,['historical'],No summary found
Dogtanian and The Three Muskehounds,TV,"['adventure', 'romance']",6.677,['historical'],This is the classic three musketeers theme but with dogs. Young Darta'can goes to Paris to join the Musketeers and...
Dokaben,TV,[],8,"['baseball', 'sports']","The new transfer student, Taro Yamada, always uses a big-sized bento box and because of this, is given the nickname of ""Dokaben"". He joins the school baseball team and meets some of the members, Iwaki and Tonoma. Time has passed and they are now in the high school baseball team. A new member, Satonaka, has joined them and the four of them are well-known in the baseball arena, being the Four Heavenly Kings of the baseball team. They have been entering numerous matches, meeting a variety of adversaries and honing their baseball skills in the process, awaiting in the meantime, for the strongest competitor to appear."
Dokachin,TV,"['comedy', 'science fiction']",8,No Theme Found,"Primitive boy Dokachin, his father Tototo, and mother Kakaka plus a chunk of their land are brought forward in time by an experiment that gets out of hand. The comedy arises from their struggle to cope with the frantic pace of 1960's Japan."
Dokkiri Doctor,TV,"['comedy', 'slice of life']",6.7484,No Theme Found,"Haruka Nishikikoji is an overweight doctor that never seems to attract any girls. Fate finds a way as he lands a job as a doctor in an elementary school, wherein his workplace can be found on top of the schools' roof and the actual clinic looks like a medieval castle. Just when everything seems to go downhill, a surprise came one day, her first love Koizumi Miyuki, applies as her soon to be nurse."
Dokonjo Gaeru,TV,['comedy'],6.3771,No Theme Found,"When Hiroshi was fighting against his rival Gorillaimo, he stumble over a stone and fell on to a frog. To be surprised, the frog was still alive and it named itself Pyonkichi."
Don Chuck Monogatari,TV,['adventure'],6.3374,No Theme Found,"Young beaver Chuck's adventure with his little friends. When thy are in trouble, Chuck often asks his father to help them out."
Don-Don Domel to Ron,TV,[],6.9411,No Theme Found,"Dommel is a lazy dog who does nothing more than eating and sleeping. His owner, Semafoor, is an inventor of the strangest things you could imagine. Together this becomes a mix for some funny events."
Don Dracula,TV,"['comedy', 'fantasy']",5.3662,No Theme Found,"This is a horror comedy in which a Western-style house in Romania is bought and brought to Tokyo, with the inhabitants still inside. They are Don Dracula the vampire, his daughter Chocola and his servant Igor."
Don Quijote,TV,['comedy'],6,['historical'],No summary found
Zukkoke Knight - Don De La Mancha,TV,"['comedy', 'romance']",5.2611,['historical'],No summary found
Doraemon,TV 1/1973,"['action', 'comedy', 'science fiction']",7.1238,No Theme Found,"Nobita Nobi is so hapless that his 22<sup>nd</sup> century decendants are still impoverished as a result of his 20<sup>th</sup> century bumbling. In a bid to raise their social status, their servant, a robotic cat named Doraemon, decides to travel back in time and guide Nobita on the proper path to fortune. Unfortunately Doraemon, a dysfunctional robot that the familly acquired by accident (but chose to keep nonetheless), isn't much better off than Nobita. The robot leads Nobita on many adventures, and while Nobita's life certainly is more exciting with the robot cat from the future, it is questionable if it is in fact better in the way that Doraemon planned."
Doraemon,TV 2/1979,"['adventure', 'comedy', 'science fiction']",7.1393,No Theme Found,No summary found
Mock & Sweet,TV,[],0,No Theme Found,"Mock and his sister, Sweet, are curious about the fuss on the earth and eventually decide to come out of the ground. They save the poor, the innocent and the brave whenever and wherever these people need help."
Dororo,TV,"['action', 'adventure', 'supernatural']",7.3556,['historical'],"Hyakkimaru is a young man who lacks 48 body parts because they were taken from him by demons before birth, as payment by his father, Kagemitsu Daigo, to obtain his wish to take over the country. When the baby boy was born he was missing 48 parts of his body, and thus was abandoned—thrown into a river. Hyakkimaru has grown up and now has obtained fake body parts so he can eliminate the 48 demons that were made from his body, and to retrieve his missing parts. Along for the adventure is the boy thief, Dororo, with whom he becomes friends."
Dororon Enma-kun,TV,[],6.0186,No Theme Found,"Emma-kun, Yukiko Hime, and Kapaeru are members of a Demon Patrol that are sent to the human world to arrest demons."
Dororonpa!,TV,"['comedy', 'slice of life', 'supernatural']",7,No Theme Found,No summary found
Yawara! A Fashionable Judo Girl,TV,"['comedy', 'drama', 'romance']",7.5214,['sports'],"Inokuma Yawara is just another young high school girl. Well, not quite - for Yawara is being raised by her grandfather, 7th dan Judo master Inokuma Jigorou, to be Japan's great hope for the women's Judo competition at the 1992 Olympics in Barcelona. All the same, Yawara just wants to live a normal life..."
Momoiro Sisters,TV,"['comedy', 'slice of life']",6.1904,No Theme Found,"Momoko is a high school student, trying to live up to her older sister Sakura. Sakura works in an office along with many other co-workers. The two sisters, and their friends, experience the everyday hardships and situations of being a woman."
Gegege no Kitarō,TV 1/1968,"['action', 'comedy', 'supernatural']",6.7625,No Theme Found,"Kitarou, a ghost, spends his afterlife helping humans in need of his skills. He thwarts the plans of evil spirits who live to torment humanity."
Galaxy Angel Z,TV,"['comedy', 'science fiction']",7.3609,"['parody', 'space']","The continuation of the adventures of the Angel Brigade, Milfeulle Sakuraba, Ranpha Franboise, Mint Blancmanche, Forte Stollen, Vanilla H and the artificial inteligent plush doll Nomad, lead by Colonel Volcott O'Huey, in the search of the Lost Technology, but always under unexplained, crazy and comic situations."
Stainless Night,OAV,"['erotica', 'romance', 'science fiction']",6.7268,['yuri'],"After ten years of dormancy, Linea awakes from a capsule in the countryside of Japan. Without any memories, she wanders into a small research center staffed by three beautiful women. One of the researchers, Sayako, is entranced by the strange woman and leaves her present lover. Sayako takes Linea to bed, and finds that her abilities are beyond that of any ordinary woman."
Project ARMS: The 2nd Chapter,TV,"['action', 'adventure', 'comedy', 'psychological', 'science fiction']",6.8862,"['espers', 'monsters', 'superpowers']",No summary found
3D Magical Play,OAV,"['comedy', 'magic']",5.3938,No Theme Found,"Padudu is a 12-year-old apprentice witch, chosen to represent her town in the coliseum. Donning her magical fish costume, which keeps her warm and fed, she sets off on her journey. But on the way she's swept away by a river to Dance Valley. Mayor Koffy captures her and throws her into the dungeon, hoping to eliminate the competition for Dance Valley's own coliseum candidate. Luckily for Padudu, this dungeon holds the mysterious witch Nonononn. They join together in a magical fight for survival."
2×1,OAV,['erotica'],5.3889,No Theme Found,"Noriko Yoshifuku, supposedly flu-stricken, hasn't attended ""college"" since the start of sophomore year. When two of her classmates, Satoshi Akiyama and Junichi Ieda, are sent to bring her homework, the two young men discover that Yoshifuku does not have the flu at all. Instead, Yoshifuku can't stop thinking about (and acting upon) dirty thoughts and so she, Akiyama and Ieda act out their sexual fantasies while encountering obstacles along the way. The series's themes, developed in widely varying degrees, include wish fulfillment, bisexuality, incest, the ways in which sexuality can affect day-to-day life, and friendship."
Karura Mau Movie,movie,[],4.9133,"['folklore', 'school']","Twins Maiko and Shoko are descended from a line of female shamans loyal to Karura (the Japanese Buddhist version of the Hindu guardian creature Garuda). They use their powers to investigate and battle supernatural forces. When an ambitious priest seeks dominion over Japan by unleashing spirits sealed in a temple in Nara, the sisters not only combine their powers, the must also rely on support from a range of allies."
Karura Mau,OAV,"['action', 'horror']",1,No Theme Found,No summary found
Level-C,OAV,"['drama', 'erotica', 'romance']",5.4782,['yaoi'],Mizuki is a male fashion model with a nice apartment. Kazuomi just had his girlfriend kick him out. Kazuomi sets out to find someone new to live with and sees Mizuki on the street. Kazuomi thinks Mizuki is cute and asks to stay with him in exchange for great sex. Mizuki thinks he is joking until they are at his apartment later that night and Kazuomi makes good on his promise.
My Sexual Harassment,OAV,"['drama', 'erotica']",5.7016,['yaoi'],"Mochizuki is a young business man who works in an office. While doing his job, his boss, Honma, comes in and starts to fondle him. Honma says that Mochizuki should be expected to do stuff so he can climb the ladder to become a successful business man. Mochizuki then starts to sleep with other men so he can become successful. Some men think Mochizuki is sexy, so they then force themselves onto Mochizuki."
Fish in the Trap,OAV,"['drama', 'erotica']",4.2969,['yaoi'],"Five year old Matsui is playing with his friend and his friend's dog. Suddenly, they both notice a blue-haired older boy staring at them named Yuuji. Matsui doesn't know him but is surprised to hear Yuuji say, ""I want a dog."" Several years later, Matsui is already in school (but I don't know which year) and it is revealed that he is third in school's swimming contest (in boy's group). His best friend is Yoshino, who from what I've noticed has more than platonic feelings for his best friend."
Angel of Darkness,OAV,"['erotica', 'horror', 'supernatural']",4.8931,No Theme Found,A private school for girls becomes a breeding ground for an evil hell spawn.
The Adventures of the Little Prince,TV,['adventure'],6.1062,No Theme Found,"The Little Prince lives on Astroid B612, a tiny rock floating in space. He spends his days cleaning out the three small volcanos on the astroid (which he aslo uses to cook his breakfast) weeding out the baobob trees that threaten to take over, and caring for his friend the Rose Girl. When he gets lonely for company he catches a comet in his butterfly net and flies off to Earth for all sorts of adventures."
Galaxy Express 999,TV,"['adventure', 'drama', 'science fiction']",7.3486,"['aliens', 'cyborgs', 'space', 'tragedy']","In a distant future, Tetsuro is a human boy who wants his body replaced with a robotic one. This is possible, but to do so he has to reach the Immortal Planet onboard the space train Galaxy Express 999. Maetel, a beautiful and mysterious blonde woman dressed in Russian style, joins him in the long journey through space. Every episode sees our heroes arriving in a new planet's space train station."
Galaxy Express 999,movie,"['adventure', 'drama', 'science fiction']",7.6735,"['space', 'space western']","After the death of his mother at the hands of the evil robot Count Mecha, young Tetsuro has become a delinquent street urchin who dreams only of revenge. Tetsuro lives in a far future world in which humans have the choice to travel to another planet where they can exchange their bodies for immortal, robotic counterparts. His goal is to someday acquire (through theft) enough money to board the Galaxy Express 999, a train which is capable of traveling through space, and which will take him to the planet of robots. One day, after escaping from the police, he meets the beautiful Maetel, who resembles his mother. She offers to take him on the Galaxy Express 999 to get a robotic body and to get revenge on Count Mecha. Along the journey, the two meet many varied people (including Captain Harlock and Queen Emeraldas), and Tetsuro learns what it means to be human."
Fighting Foodons,TV,"['action', 'adventure', 'comedy', 'fantasy']",4.6354,['cooking'],"An 11-year old boy named Zen bands together with his younger sister, Karen, and a young boy who has a large appetite, Pitan, to battle an evil empire by using their ""Foodons""; strange monsters that are created from various foods."
Someday's Dreamers,TV,"['magic', 'slice of life']",6.887,['coming of age'],"Yume Kikuchi, a girl who can use magic, goes to Tokyo to be an apprentice mage to the handsome Masami Oyamada (a professional mage). In Tokyo, Yume learns about magic, helping people, and various other things on her way to being a mage. but she soon also finds out that even just magic alone isnt enough to make someone truly happy..."
Bug tte Honey,TV,"['adventure', 'comedy', 'fantasy', 'tournament']",0,No Theme Found,No summary found
Ganbare Swimmy,TV,[],0,No Theme Found,No summary found
Tokimeki Tonight,TV,"['comedy', 'romance', 'supernatural']",6.8609,"['monsters', 'vampires']","The main character, Ranze, is a junior high girl with troubles: her father is a vampire and her mother is a werewolf. Ranze has yet to manifest her supernatural powers, and her parents are beginning to get worried she might be normal. So begins the fantasy romantic comedy story."
